,uin,lab_score,con_score,ld_score,total
101,CD:2001-12-12:109,0.8368580060422961,1.0,1.0,0.9456193353474319
102,CD:2001-12-12:110,0.9692307692307692,1.0,1.0,0.9897435897435898
103,CD:2001-12-13:111,0.9936507936507937,1.0,1.0,0.9978835978835979
104,CD:2001-12-13:112,0.9938080495356038,1.0,1.0,0.9979360165118679
105,CD:2001-12-13:113,0.9939024390243902,1.0,1.0,0.9979674796747968
106,CD:2001-12-13:114,0.9693251533742331,0.0,1.0,0.656441717791411
107,CD:2001-12-17:115,1.0,1.0,1.0,1.0
108,CD:2001-12-17:116,1.0,1.0,1.0,1.0
109,CD:2001-12-18:117,1.0,1.0,0.8181818181818182,0.9393939393939394
110,CD:2001-12-18:118,0.9749216300940439,1.0,0.875,0.9499738766980146
111,CD:2001-12-18:119,0.9936305732484076,1.0,0.7575757575757576,0.9170687769413884
112,CD:2001-12-18:120,0.967948717948718,1.0,0.8666666666666667,0.944871794871795
113,CD:2001-12-18:121,0.9281045751633987,1.0,0.09090909090909091,0.6730045553574966
114,CD:2001-12-19:122,1.0,1.0,0.9444444444444444,0.9814814814814815
115,CD:2002-01-08:123,1.0,1.0,1.0,1.0
116,CD:2002-01-09:124,1.0,1.0,1.0,1.0
117,CD:2002-01-09:125,1.0,1.0,1.0,1.0
118,CD:2002-01-09:126,1.0,0.0,1.0,0.6666666666666666
119,CD:2002-01-11:127,0.8518518518518519,1.0,1.0,0.9506172839506174
120,CD:2002-01-11:128,0.8620689655172413,1.0,1.0,0.9540229885057471
121,CD:2002-01-14:129,1.0,1.0,1.0,1.0
122,CD:2002-01-15:130,0.99375,1.0,1.0,0.9979166666666667
123,CD:2002-01-15:131,0.8476190476190476,1.0,1.0,0.9492063492063493
124,CD:2002-01-15:132,1.0,0.0,1.0,0.6666666666666666
125,CD:2002-01-15:133,0.9876160990712074,1.0,1.0,0.9958720330237357
126,CD:2002-01-16:134,0.9940828402366864,1.0,1.0,0.9980276134122287
127,CD:2002-01-16:135,1.0,0.0,1.0,0.6666666666666666
128,CD:2002-01-16:136,1.0,1.0,1.0,1.0
129,CD:2002-01-21:137,1.0,1.0,1.0,1.0
130,CD:2002-01-21:138,1.0,1.0,1.0,1.0
131,CD:2002-01-22:139,1.0,1.0,1.0,1.0
132,CD:2002-01-22:140,1.0,1.0,1.0,1.0
133,CD:2002-01-23:141,0.0851063829787234,0.25,0.8333333333333334,0.3894799054373523
134,CD:2002-01-28:142,0.9921568627450981,1.0,1.0,0.9973856209150327
135,CD:2002-01-28:143,0.9922779922779923,1.0,1.0,0.9974259974259975
136,CD:2002-01-28:144,0.9923076923076923,1.0,1.0,0.9974358974358974
137,CD:2002-01-28:145,0.4605263157894737,1.0,0.38461538461538464,0.615047233468286
138,CD:2002-01-28:146,0.47368421052631576,1.0,0.2,0.5578947368421052
139,CD:2002-01-29:147,0.9935897435897436,1.0,1.0,0.9978632478632479
140,CD:2002-01-29:148,0.9935064935064936,1.0,1.0,0.9978354978354979
141,CD:2002-01-30:149,1.0,1.0,1.0,1.0
142,CD:2002-01-31:150,1.0,1.0,1.0,1.0
143,CD:2002-02-04:151,0.9930795847750865,1.0,1.0,0.9976931949250288
144,CD:2002-02-04:152,0.9931972789115646,1.0,1.0,0.9977324263038548
145,CD:2002-02-04:153,0.9930555555555556,1.0,1.0,0.9976851851851851
146,CD:2002-02-05:154,0.9935897435897436,1.0,1.0,0.9978632478632479
147,CD:2002-02-05:155,0.9935275080906149,1.0,1.0,0.9978425026968716
