,uin,lab_score,con_score,ld_score,total,date,title
135,CD:2002-01-28:143,0.9922779922779923,1.0,1.0,0.9974259974259975,2002-01-28,Civil Defence (Grant) Bill
136,CD:2002-01-28:144,0.9923076923076923,1.0,1.0,0.9974358974358974,2002-01-28,Civil Defence (Grant) Bill
137,CD:2002-01-28:145,0.4605263157894737,1.0,0.38461538461538464,0.615047233468286,2002-01-28,City of London (Ward Elections) Bill
138,CD:2002-01-28:146,0.47368421052631576,1.0,0.2,0.5578947368421052,2002-01-28,City of London (Ward Elections) Bill
139,CD:2002-01-29:147,0.9935897435897436,1.0,1.0,0.9978632478632479,2002-01-29,Post Office
140,CD:2002-01-29:148,0.9935064935064936,1.0,1.0,0.9978354978354979,2002-01-29,Post Office
141,CD:2002-01-30:149,1.0,1.0,1.0,1.0,2002-01-30,Local Government Finance
142,CD:2002-01-31:150,1.0,1.0,1.0,1.0,2002-01-31,Travel Concessions (Eligibility) Bill [Lords]
143,CD:2002-02-04:151,0.9930795847750865,1.0,1.0,0.9976931949250288,2002-02-04,Asylum Seekers
144,CD:2002-02-04:152,0.9931972789115646,1.0,1.0,0.9977324263038548,2002-02-04,Pensions and Benefits
145,CD:2002-02-04:153,0.9930555555555556,1.0,1.0,0.9976851851851851,2002-02-04,Pensions and Benefits
146,CD:2002-02-05:154,0.9935897435897436,1.0,1.0,0.9978632478632479,2002-02-05,Education Bill
147,CD:2002-02-05:155,0.9935275080906149,1.0,1.0,0.9978425026968716,2002-02-05,Education Bill
148,CD:2002-02-05:156,0.9935275080906149,1.0,1.0,0.9978425026968716,2002-02-05,Education Bill
149,CD:2002-02-06:157,0.7068403908794788,1.0,0.8918918918918919,0.8662440942571236,2002-02-06,Education Bill
150,CD:2002-02-06:158,0.7377049180327869,0.9850746268656716,0.9,0.8742598482994861,2002-02-06,Education Bill
151,CD:2002-02-06:159,0.8779661016949153,1.0,1.0,0.9593220338983052,2002-02-06,Education Bill
152,CD:2002-02-06:160,1.0,1.0,1.0,1.0,2002-02-06,Education Bill
153,CD:2002-02-06:161,1.0,1.0,1.0,1.0,2002-02-06,Education Bill
154,CD:2002-02-06:162,1.0,1.0,1.0,1.0,2002-02-06,Education Bill
155,CD:2002-02-07:163,1.0,1.0,1.0,1.0,2002-02-07,Tax Credits Bill
156,CD:2002-02-07:164,1.0,1.0,1.0,1.0,2002-02-07,Tax Credits Bill
157,CD:2002-02-07:165,0.9923076923076923,1.0,1.0,0.9974358974358974,2002-02-07,Tax Credits Bill
158,CD:2002-02-12:166,0.9932659932659933,1.0,1.0,0.9977553310886643,2002-02-12,Employment Bill
159,CD:2002-02-12:167,0.9933554817275747,1.0,1.0,0.9977851605758582,2002-02-12,Employment Bill
160,CD:2002-02-25:168,1.0,1.0,1.0,1.0,2002-02-25,Homelessness Bill
161,CD:2002-02-26:169,0.9925925925925926,1.0,1.0,0.9975308641975308,2002-02-26,Proceeds of Crime Bill
162,CD:2002-02-26:170,0.9922480620155039,1.0,1.0,0.9974160206718347,2002-02-26,Proceeds of Crime Bill
163,CD:2002-02-26:171,0.9924812030075187,1.0,1.0,0.9974937343358397,2002-02-26,Proceeds of Crime Bill
164,CD:2002-02-27:172,0.9932203389830508,1.0,1.0,0.9977401129943503,2002-02-27,Proceeds of Crime Bill
165,CD:2002-02-27:173,0.992619926199262,1.0,1.0,0.997539975399754,2002-02-27,Proceeds of Crime Bill
166,CD:2002-02-27:174,0.9923076923076923,1.0,1.0,0.9974358974358974,2002-02-27,Proceeds of Crime Bill
167,CD:2002-03-04:175,0.9925650557620818,1.0,1.0,0.9975216852540273,2002-03-04,Justice (Northern Ireland) Bill
168,CD:2002-03-04:176,0.9928057553956835,1.0,1.0,0.9976019184652278,2002-03-04,Justice (Northern Ireland) Bill
169,CD:2002-03-04:177,0.9929078014184397,1.0,1.0,0.9976359338061466,2002-03-04,Justice (Northern Ireland) Bill
170,CD:2002-03-04:178,0.9859154929577465,1.0,1.0,0.9953051643192489,2002-03-04,Justice (Northern Ireland) Bill
171,CD:2002-03-04:179,1.0,1.0,1.0,1.0,2002-03-04,Justice (Northern Ireland) Bill
172,CD:2002-03-05:180,0.9936305732484076,1.0,1.0,0.9978768577494691,2002-03-05,Steel Industry
173,CD:2002-03-05:181,1.0,1.0,1.0,1.0,2002-03-05,Steel Industry
174,CD:2002-03-05:182,1.0,0.0,1.0,0.6666666666666666,2002-03-05,Nuclear Power
175,CD:2002-03-05:183,1.0,0.0,1.0,0.6666666666666666,2002-03-05,Nuclear Power
176,CD:2002-03-06:184,1.0,1.0,1.0,1.0,2002-03-06,Office of Communications Bill [Lords]
177,CD:2002-03-06:185,0.9926470588235294,1.0,1.0,0.9975490196078431,2002-03-06,Office of Communications Bill [Lords]
178,CD:2002-03-06:186,1.0,1.0,1.0,1.0,2002-03-06,Office of Communications Bill [Lords]
179,CD:2002-03-11:187,1.0,1.0,1.0,1.0,2002-03-11,Commonhold and Leasehold Reform Bill [Lords]
180,CD:2002-03-11:188,0.9926470588235294,1.0,1.0,0.9975490196078431,2002-03-11,Commonhold and Leasehold Reform Bill [Lords]
181,CD:2002-03-11:189,0.9927536231884058,1.0,1.0,0.9975845410628019,2002-03-11,Commonhold and Leasehold Reform Bill [Lords]
182,CD:2002-03-11:190,0.9930795847750865,1.0,1.0,0.9976931949250288,2002-03-11,Commonhold and Leasehold Reform Bill [Lords]
183,CD:2002-03-12:191,0.9935064935064936,1.0,1.0,0.9978354978354979,2002-03-12,London and the South-East
184,CD:2002-03-12:192,0.9933993399339934,1.0,1.0,0.9977997799779978,2002-03-12,London and the South-East
185,CD:2002-03-13:193,0.993127147766323,1.0,1.0,0.997709049255441,2002-03-13,Commonhold and Leasehold Reform Bill [Lords]
186,CD:2002-03-13:194,0.9928825622775801,1.0,1.0,0.9976275207591933,2002-03-13,Commonhold and Leasehold Reform Bill [Lords]
187,CD:2002-03-13:195,0.9293286219081273,0.0,1.0,0.6431095406360424,2002-03-13,Commonhold and Leasehold Reform Bill [Lords]
188,CD:2002-03-13:196,0.9928825622775801,1.0,1.0,0.9976275207591933,2002-03-13,Commonhold and Leasehold Reform Bill [Lords]
189,CD:2002-03-18:197,0.9943019943019943,0.9,0.5348837209302325,0.8097285717440755,2002-03-18,Hunting With Dogs
190,CD:2002-03-18:198,0.9312320916905444,0.9375,0.19047619047619047,0.686402760722245,2002-03-18,Hunting With Dogs
191,CD:2002-03-18:199,0.9661016949152542,0.9047619047619048,0.3,0.7236211998923863,2002-03-18,Hunting With Dogs
192,CD:2002-03-19:200,0.9936305732484076,1.0,1.0,0.9978768577494691,2002-03-19,Education and Skills Training
193,CD:2002-03-19:201,0.9934640522875817,1.0,1.0,0.9978213507625272,2002-03-19,Education and Skills Training
194,CD:2002-03-25:202,0.9865771812080537,1.0,1.0,0.9955257270693512,2002-03-25,State Pension Credit Bill [Lords]
195,CD:2002-03-25:203,0.9933333333333333,1.0,1.0,0.9977777777777778,2002-03-25,State Pension Credit Bill [Lords]
196,CD:2002-04-10:204,0.9935064935064936,1.0,1.0,0.9978354978354979,2002-04-10,Enterprise Bill
197,CD:2002-04-12:205,1.0,0.9649122807017544,1.0,0.9883040935672515,2002-04-12,Pensions Annuities (Amendment) Bill
198,CD:2002-04-12:206,1.0,1.0,1.0,1.0,2002-04-12,Pensions Annuities (Amendment) Bill
199,CD:2002-04-15:207,1.0,1.0,1.0,1.0,2002-04-15,Electoral Fraud (Northern Ireland) Bill (Programme)
200,CD:2002-04-15:208,0.6528925619834711,1.0,0.5,0.7176308539944903,2002-04-15,City of London (Ward Elections) Bill
201,CD:2002-04-15:209,0.6818181818181818,1.0,0.5714285714285714,0.7510822510822509,2002-04-15,City of London (Ward Elections) Bill
202,CD:2002-04-15:210,0.7237569060773481,1.0,0.3333333333333333,0.6856967464702272,2002-04-15,City of London (Ward Elections) Bill
203,CD:2002-04-16:211,1.0,1.0,1.0,1.0,2002-04-16,Selective Schools (Transitional Arrangements)
204,CD:2002-04-19:212,1.0,1.0,1.0,1.0,2002-04-19,Industrial and Provident Societies Bill
205,CD:2002-04-23:213,0.9942028985507246,1.0,1.0,0.9980676328502415,2002-04-23,Budget Resolutions and Economic Situation
206,CD:2002-04-23:214,0.9940476190476191,1.0,1.0,0.998015873015873,2002-04-23,Budget Resolutions and Economic Situation
207,CD:2002-04-23:215,1.0,0.0,1.0,0.6666666666666666,2002-04-23,Budget Resolutions and Economic Situation
208,CD:2002-04-23:216,0.9938837920489296,1.0,1.0,0.9979612640163099,2002-04-23,Budget Resolutions and Economic Situation
209,CD:2002-04-23:217,0.9936708860759493,1.0,1.0,0.9978902953586498,2002-04-23,Budget Resolutions and Economic Situation
210,CD:2002-04-23:218,1.0,1.0,1.0,1.0,2002-04-23,Budget Resolutions and Economic Situation
211,CD:2002-04-24:219,0.9929328621908127,1.0,1.0,0.9976442873969376,2002-04-24,"Nationality, Immigration and Asylum Bill"
212,CD:2002-04-29:220,1.0,0.9841269841269841,1.0,0.9947089947089948,2002-04-29,Tobacco Advertising and Promotion Bill [Lords]
213,CD:2002-04-29:221,1.0,1.0,1.0,1.0,2002-04-29,Tobacco Advertising and Promotion Bill [Lords]
214,CD:2002-04-30:222,0.9935483870967742,1.0,1.0,0.9978494623655915,2002-04-30,Finance Bill
215,CD:2002-04-30:223,0.9935064935064936,1.0,1.0,0.9978354978354979,2002-04-30,Finance Bill
216,CD:2002-05-01:224,0.9926739926739927,1.0,1.0,0.9975579975579976,2002-05-01,Ways and Means
217,CD:2002-05-07:225,0.9938271604938271,1.0,1.0,0.9979423868312757,2002-05-07,Police Reform Bill [Lords]
218,CD:2002-05-08:226,0.9936305732484076,1.0,1.0,0.9978768577494691,2002-05-08,Finance Bill
219,CD:2002-05-08:227,1.0,1.0,1.0,1.0,2002-05-08,Finance Bill
220,CD:2002-05-08:228,0.9921568627450981,1.0,1.0,0.9973856209150327,2002-05-08,Finance Bill
221,CD:2002-05-09:229,1.0,1.0,1.0,1.0,2002-05-09,Finance Bill
222,CD:2002-05-09:230,1.0,1.0,1.0,1.0,2002-05-09,Finance Bill
223,CD:2002-05-09:231,1.0,1.0,1.0,1.0,2002-05-09,Finance Bill
224,CD:2002-05-09:232,1.0,1.0,1.0,1.0,2002-05-09,Finance Bill
225,CD:2002-05-09:233,1.0,1.0,1.0,1.0,2002-05-09,Finance Bill
226,CD:2002-05-10:234,0.569620253164557,1.0,1.0,0.8565400843881856,2002-05-10,Home Energy Conservation Bill
227,CD:2002-05-13:235,0.9936305732484076,1.0,1.0,0.9978768577494691,2002-05-13,National Insurance Contributions Bill
228,CD:2002-05-14:236,0.9209486166007905,0.9433962264150944,0.9310344827586207,0.9317931085915019,2002-05-14,"Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]"
229,CD:2002-05-14:237,0.043137254901960784,0.5769230769230769,1.0,0.5400201106083459,2002-05-14,"Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]"
230,CD:2002-05-14:238,0.1210762331838565,0.5339805825242718,0.2857142857142857,0.3135903671408047,2002-05-14,"Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]"
231,CD:2002-05-14:239,0.004608294930875576,0.5714285714285714,0.4666666666666667,0.34756784434203786,2002-05-14,"Modernisation of the House of Commons [Relevant document: The Second Report from the Liaison Committee, HC 692, Session 2001‹02, on Select Committees: Modernisation Proposals.]"
