4150,date,division number_x,title,uin,uri_x,224,division number_y,uri_y
no,2009-05-20,138.0,"Planning: National Policy Statements, Question put , That the amendment be made",CD:2009-05-20:138,http://data.parliament.uk/resources/104380,,,
no,2009-05-20,140.0,"Electronic Communications,One and a half hours having elapsed since the commencement of proceedings on the motion, the Deputy Speaker put the Question (Standing Order No s . 16(1)) and 17(2) and Order, 18 May)",CD:2009-05-20:140,http://data.parliament.uk/resources/104382,,,
no,2009-05-19,134.0,"Policing and Crime Bill (Programme)(No2), 1&1/2 hrs elapsed of proceedings on programme motion interrupted (Prog Order, this day). Dty Skr put forthwith Question (Standing Order No. 83E), clause be read a Second time",CD:2009-05-19:134,http://data.parliament.uk/resources/104376,,,
no,2009-05-19,135.0,"Policing and Crime Bill (Programme)(No2), Question put, That the clause be added to the Bill",CD:2009-05-19:135,http://data.parliament.uk/resources/104377,,,
no,2009-05-19,136.0,"Policing and Crime Bill, Question put, That the new clause 4 be added to the Bill",CD:2009-05-19:136,http://data.parliament.uk/resources/104378,,,
no,2009-05-19,137.0,"Policing and Crime Bill, Question put, That the new clause 25 be added to the Bill",CD:2009-05-19:137,http://data.parliament.uk/resources/104379,,,
no,2009-05-18,131.0,"Skills in the Recession, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-05-18:131,http://data.parliament.uk/resources/104373,,,
no,2009-05-18,132.0,"Mid Staffordshire NHS Foundation Trust, Question put (Standing Order No. 31(2)), That the original words stand part of the Question",CD:2009-05-18:132,http://data.parliament.uk/resources/104374,,,
no,2009-05-13,124.0,"Finance Bill, Question put, That the amendment to clause 92 be made. Sitting in committee",CD:2009-05-13:124,http://data.parliament.uk/resources/104366,,,
no,2009-05-13,125.0,"Finance Bill, Question put, That the amendment to clause 14 be made. Sitting in committee",CD:2009-05-13:125,http://data.parliament.uk/resources/104367,,,
no,2009-05-13,126.0,"Finance Bill, Question put, That the amendment 5 be made. Sitting in committee",CD:2009-05-13:126,http://data.parliament.uk/resources/104368,,,
no,2009-05-13,127.0,"Finance Bill, Question put, That the amendment 11 be made. Sitting in committee",CD:2009-05-13:127,http://data.parliament.uk/resources/104369,,,
no,2009-05-13,129.0,"Finance Bill, Question put, That the amendment to clause 20 be made. Sitting in committee",CD:2009-05-13:129,http://data.parliament.uk/resources/104371,,,
no,2009-05-13,130.0,"Finance Bill, Question put, That the amendment 15 be made. Sitting in committee",CD:2009-05-13:130,http://data.parliament.uk/resources/104372,,,
