515,date,division number,title,uin,uri
no,2009-10-12,209.0,"Health Bill (Lords), Question put, That the new clause 12 be read a Second time",CD:2009-10-12:209,http://data.parliament.uk/resources/104451
no,2009-07-21,206.0,"Issue of Writ, (Glasgow, North East by-election), Question put, That the amendment be made to; To leave out from “That” to the end of the Question and add “this House do pass to the Orders of the Day.”",CD:2009-07-21:206,http://data.parliament.uk/resources/104448
no,2009-07-15,201.0,East Midlands Regional Grand Committee take questions under Standing Order No. 117B (Regional Grand Committees (questions for oral answer),CD:2009-07-15:201,http://data.parliament.uk/resources/104443
no,2009-07-13,198.0,Political Parties and Elections Bill (Extension of Carry-over) shall lapse in pursuance of paragraph (13) of Standing Order No. 80A shall be extended by 15 weeks until 29 October 2009,CD:2009-07-13:198,http://data.parliament.uk/resources/104440
no,2009-07-13,199.0,"Political parties and elections Bill (programme) (NO.4), Motion made, and Question put forthwith (Standing Order No. 83A(7))",CD:2009-07-13:199,http://data.parliament.uk/resources/104441
no,2009-07-08,189.0,"Identity Cards, That the draft Identity Cards Act 2006 (Provision of Information without Consent) Regulations 2009, which were laid before this House on 6 May, be approved",CD:2009-07-08:189,http://data.parliament.uk/resources/104431
no,2009-07-08,190.0,"Identity Cards, That the draft Identity Cards Act 2006 (Information and Code of Practice on Penalties) Order 2009, which was laid before this House on 6 May, be approved",CD:2009-07-08:190,http://data.parliament.uk/resources/104432
no,2009-07-08,191.0,"Identity Cards, That the draft Identity Cards Act 2006 (Fees) Regulations 2009, which were laid before this House on 6 May, be approved",CD:2009-07-08:191,http://data.parliament.uk/resources/104433
no,2009-07-08,192.0,"Identity Cards That the draft Identity Cards Act 2006 (Application and Issue of ID Card and Notification of Changes ) Regulations 2009, which were laid before the House on 9 June, be approved",CD:2009-07-08:192,http://data.parliament.uk/resources/104434
no,2009-07-08,193.0,"Identity Cards That the draft Identity Cards Act 2006 (Prescribed Information) Regulations 2009, which were laid before this House on 9 June, be approved",CD:2009-07-08:193,http://data.parliament.uk/resources/104435
no,2009-07-08,194.0,House takes note of unnumbered Explanatory Memorandum 11/06/09 from HM Treasury on Preliminary Draft Budget of EC for yr 2010; & supports the Gov’s efforts to maintain budget discipline in relation to the budget of the EC,CD:2009-07-08:194,http://data.parliament.uk/resources/104436
no,2009-07-01,172.0,"Environmental Protection, That the draft Environmental Permitting (England and Wales) (Amendment) Regulations 2009, which were laid before this House on 13 May, be approved",CD:2009-07-01:172,http://data.parliament.uk/resources/104414
no,2009-07-01,173.0,"Adjournment (summer) That this House, at its rising on Tuesday 21 July 2009, do adjourn till Monday 12 October 2009",CD:2009-07-01:173,http://data.parliament.uk/resources/104415
no,2009-07-01,178.0,"Parliamentary Standards Bill, Chair put forthwith Qs necessary for disposal of business to be concluded (Prog Order, 29 June & SO 83D ) Question put, That the amendments 23, 24 & 87 be made. Sitting in committee",CD:2009-07-01:178,http://data.parliament.uk/resources/104420
no,2009-06-30,170.0,"Parliamentary Standards Bill Question put, That the amendment 73 be made. Sitting in committee",CD:2009-06-30:170,http://data.parliament.uk/resources/104412
no,2009-06-25,157.0,"Regional Select Committee (London), Question put that Standing Order No. 152F be amended by inserting after paragraph (1)",CD:2009-06-25:157,http://data.parliament.uk/resources/104399
no,2009-06-25,158.0,"Business without Debate, south west regional grand committee, Motion made, and Question put forthwith (Standing Order No.117A(3))",CD:2009-06-25:158,http://data.parliament.uk/resources/104400
no,2009-06-24,156.0,"Iraq Inquiry, Question put forthwith (Standing Order No. 31(2)), That the proposed words be there added",CD:2009-06-24:156,http://data.parliament.uk/resources/104398
no,2009-06-17,151.0,"EU Doc No. 5289/09, the Development and Consolidation of the External Service: Implementation of Measures for 2008 & endorses Govt’s policy of support for the developments to the EU Commission’s external service in 2009",CD:2009-06-17:151,http://data.parliament.uk/resources/104393
no,2009-06-10,145.0,"Geneva Conventions and United Nations Personnel (Protocols) Bill (Lords) (Programme) (No. 2), Question put to vary Bill",CD:2009-06-10:145,http://data.parliament.uk/resources/104387
no,2009-06-08,143.0,"Health Bill (Lords) (Programme), Motion made, and Question put forthwith (Standing Order No. 83A (7) )",CD:2009-06-08:143,http://data.parliament.uk/resources/104385
no,2009-06-01,141.0,"Local Democracy, Economic Development and Construction Bill (Lords), Question put, That the Bill be now read a Second time",CD:2009-06-01:141,http://data.parliament.uk/resources/104383
no,2009-06-01,142.0,"Local Democracy, Economic Development and Construction Bill (Lords) (Programme), Motion made, and Question put forthwith (Standing Order No. 83A (7) )",CD:2009-06-01:142,http://data.parliament.uk/resources/104384
no,2009-05-20,139.0,"Planning: National Policy Statements, Main Question put",CD:2009-05-20:139,http://data.parliament.uk/resources/104381
no,2009-05-19,133.0,"Policing and Crime Bill (Programme)(No. 2), question put that the programme of 19 January be varied",CD:2009-05-19:133,http://data.parliament.uk/resources/104375
